date,channel,impressions,clicks,spend,conversions,revenue,ctr,conversion_rate,cpc,cpa,roi
2024-01-01,Google Ads,988,51,29.94,2,220.22,0.05161943319838057,0.0392156862745098,0.5870588235294117,14.97,6.355377421509686
2024-01-01,Facebook Ads,1070,65,53.2,0,0.0,0.06074766355140187,0.0,0.8184615384615385,,-1.0
2024-01-01,Email,1081,62,6.2,2,127.9,0.05735430157261795,0.03225806451612903,0.1,3.1,19.629032258064516
2024-01-01,Instagram,1129,58,46.37,2,218.48,0.05137289636846767,0.034482758620689655,0.7994827586206896,23.185,3.7116670260944575
2024-01-01,LinkedIn,1118,59,113.48,5,654.2,0.052772808586762074,0.0847457627118644,1.9233898305084747,22.696,4.764892492069087
2024-01-02,Google Ads,982,47,25.92,2,151.76,0.04786150712830957,0.0425531914893617,0.5514893617021277,12.96,4.854938271604937
2024-01-02,Facebook Ads,1065,47,78.15,3,418.45,0.044131455399061034,0.06382978723404255,1.6627659574468086,26.05,4.354446577095328
2024-01-02,Email,1109,55,5.5,0,0.0,0.04959422903516682,0.0,0.1,,-1.0
2024-01-02,Instagram,1139,68,62.66,2,128.18,0.05970149253731343,0.029411764705882353,0.921470588235294,31.33,1.0456431535269712
2024-01-02,LinkedIn,1233,66,113.73,3,368.7,0.0535279805352798,0.045454545454545456,1.7231818181818181,37.910000000000004,2.2418886837246106
2024-01-03,Google Ads,1027,58,104.09,1,83.09,0.05647517039922103,0.017241379310344827,1.7946551724137931,104.09,-0.20174848688634833
2024-01-03,Facebook Ads,986,49,71.36,3,291.66,0.04969574036511156,0.061224489795918366,1.4563265306122448,23.786666666666665,3.0871636771300452
2024-01-03,Email,1055,58,5.8,3,298.14,0.054976303317535544,0.05172413793103448,0.09999999999999999,1.9333333333333333,50.40344827586207
2024-01-03,Instagram,1152,56,30.64,2,162.87,0.04861111111111111,0.03571428571428571,0.5471428571428572,15.32,4.315600522193212
2024-01-03,LinkedIn,1201,61,99.63,1,57.7,0.0507910074937552,0.01639344262295082,1.63327868852459,99.63,-0.4208571715346783
2024-01-04,Google Ads,980,61,88.46,2,260.73,0.06224489795918367,0.03278688524590164,1.4501639344262294,44.23,1.9474338684151034
2024-01-04,Facebook Ads,1017,50,57.03,2,272.15,0.049164208456243856,0.04,1.1406,28.515,3.7720497983517443
2024-01-04,Email,1092,53,5.3,4,329.28,0.048534798534798536,0.07547169811320754,0.09999999999999999,1.325,61.12830188679245
2024-01-04,Instagram,1152,55,106.9,1,99.72,0.04774305555555555,0.01818181818181818,1.9436363636363638,106.9,-0.0671655753040225
2024-01-04,LinkedIn,1179,52,65.21,0,0.0,0.04410517387616624,0.0,1.2540384615384614,,-1.0
2024-01-05,Google Ads,1050,50,98.92,0,0.0,0.047619047619047616,0.0,1.9784,,-1.0
2024-01-05,Facebook Ads,1076,58,84.01,2,207.15,0.05390334572490706,0.034482758620689655,1.4484482758620691,42.005,1.4657778835852875
2024-01-05,Email,1047,58,5.8,0,0.0,0.055396370582617004,0.0,0.09999999999999999,,-1.0
2024-01-05,Instagram,1168,50,73.39,1,119.09,0.04280821917808219,0.02,1.4678,73.39,0.6227006404142255
2024-01-05,LinkedIn,1189,58,38.87,5,688.67,0.04878048780487805,0.08620689655172414,0.6701724137931034,7.773999999999999,16.71726267043993
2024-01-06,Google Ads,977,58,75.08,0,0.0,0.0593654042988741,0.0,1.2944827586206897,,-1.0
2024-01-06,Facebook Ads,1098,54,99.67,3,383.96,0.04918032786885246,0.05555555555555555,1.8457407407407407,33.223333333333336,2.852312631684559
2024-01-06,Email,1114,49,4.9,2,101.84,0.04398563734290844,0.04081632653061224,0.1,2.45,19.783673469387754
2024-01-06,Instagram,1099,53,70.12,2,230.39,0.048225659690627844,0.03773584905660377,1.3230188679245285,35.06,2.2856531660011403
2024-01-06,LinkedIn,1170,60,97.18,3,404.77,0.05128205128205128,0.05,1.6196666666666668,32.39333333333334,3.165157439802428
2024-01-07,Google Ads,1014,48,43.09,0,0.0,0.047337278106508875,0.0,0.8977083333333334,,-1.0
2024-01-07,Facebook Ads,1040,43,68.1,0,0.0,0.041346153846153845,0.0,1.583720930232558,,-1.0
2024-01-07,Email,1114,67,6.7,4,348.06,0.06014362657091562,0.05970149253731343,0.1,1.675,50.94925373134328
2024-01-07,Instagram,1143,69,64.98,2,270.23,0.06036745406824147,0.028985507246376812,0.9417391304347826,32.49,3.1586642043705755
2024-01-07,LinkedIn,1181,54,107.19,1,101.83,0.04572396274343776,0.018518518518518517,1.9849999999999999,107.19,-0.050004664614236395
2024-01-08,Google Ads,1042,58,99.41,2,273.41,0.05566218809980806,0.034482758620689655,1.7139655172413792,49.705,1.7503269288803947
2024-01-08,Facebook Ads,1103,59,37.82,2,107.19,0.05349048050770626,0.03389830508474576,0.6410169491525424,18.91,1.8342147012162877
2024-01-08,Email,1097,54,5.4,0,0.0,0.049225159525979945,0.0,0.1,,-1.0
2024-01-08,Instagram,1186,56,92.68,1,112.29,0.047217537942664416,0.017857142857142856,1.655,92.68,0.21158826068191625
2024-01-08,LinkedIn,1142,50,72.81,3,442.76,0.043782837127845885,0.06,1.4562,24.27,5.081032825161379
2024-01-09,Google Ads,1001,59,68.35,0,0.0,0.058941058941058944,0.0,1.1584745762711863,,-1.0
2024-01-09,Facebook Ads,1069,56,49.02,1,121.46,0.052385406922357346,0.017857142857142856,0.875357142857143,49.02,1.4777641778865767
2024-01-09,Email,1115,68,6.8,2,222.34,0.06098654708520179,0.029411764705882353,0.09999999999999999,3.4,31.69705882352941
2024-01-09,Instagram,1142,57,29.73,0,0.0,0.049912434325744305,0.0,0.521578947368421,,-1.0
2024-01-09,LinkedIn,1221,57,68.98,1,93.39,0.04668304668304668,0.017543859649122806,1.2101754385964913,68.98,0.35387068715569725
2024-01-10,Google Ads,991,51,63.99,2,231.74,0.05146316851664985,0.0392156862745098,1.2547058823529411,31.995,2.621503359899984
2024-01-10,Facebook Ads,1014,51,70.31,3,322.64,0.05029585798816568,0.058823529411764705,1.3786274509803922,23.436666666666667,3.5888209358554968
2024-01-10,Email,1089,43,4.3,3,265.83,0.03948576675849403,0.06976744186046512,0.09999999999999999,1.4333333333333333,60.82093023255813
2024-01-10,Instagram,1117,57,36.57,3,171.36,0.051029543419874666,0.05263157894736842,0.641578947368421,12.19,3.6858080393765387
2024-01-10,LinkedIn,1181,49,45.22,0,0.0,0.04149026248941575,0.0,0.9228571428571428,,-1.0
2024-01-11,Google Ads,1012,55,89.43,2,298.1,0.05434782608695652,0.03636363636363636,1.6260000000000001,44.715,2.3333333333333335
2024-01-11,Facebook Ads,1042,59,111.87,3,278.7,0.05662188099808062,0.05084745762711865,1.8961016949152543,37.29,1.4912845266827566
2024-01-11,Email,1125,48,4.8,1,132.65,0.042666666666666665,0.020833333333333332,0.09999999999999999,4.8,26.635416666666668
2024-01-11,Instagram,1132,66,122.63,0,0.0,0.05830388692579505,0.0,1.858030303030303,,-1.0
2024-01-11,LinkedIn,1207,68,67.52,3,375.71,0.056338028169014086,0.04411764705882353,0.9929411764705882,22.506666666666664,4.564425355450237
2024-01-12,Google Ads,1029,48,28.14,1,94.15,0.04664723032069971,0.020833333333333332,0.58625,28.14,2.345771144278607
2024-01-12,Facebook Ads,1096,55,90.32,2,120.22,0.05018248175182482,0.03636363636363636,1.642181818181818,45.16,0.3310451727192206
2024-01-12,Email,1044,44,4.4,2,116.27,0.0421455938697318,0.045454545454545456,0.1,2.2,25.424999999999997
2024-01-12,Instagram,1138,65,108.27,2,184.84,0.05711775043936731,0.03076923076923077,1.6656923076923076,54.135,0.707213447861827
2024-01-12,LinkedIn,1254,51,61.35,0,0.0,0.04066985645933014,0.0,1.2029411764705882,,-1.0
2024-01-13,Google Ads,956,53,102.99,1,78.57,0.05543933054393305,0.018867924528301886,1.9432075471698111,102.99,-0.2371103990678707
2024-01-13,Facebook Ads,1092,50,91.77,1,112.01,0.045787545787545784,0.02,1.8354,91.77,0.2205513784461154
2024-01-13,Email,1078,42,4.2,1,57.77,0.03896103896103896,0.023809523809523808,0.1,4.2,12.754761904761905
2024-01-13,Instagram,1170,56,85.52,1,141.09,0.04786324786324787,0.017857142857142856,1.5271428571428571,85.52,0.6497895229186157
2024-01-13,LinkedIn,1223,60,107.95,0,0.0,0.04905968928863451,0.0,1.7991666666666668,,-1.0
2024-01-14,Google Ads,989,60,105.45,1,91.48,0.06066734074823053,0.016666666666666666,1.7575,105.45,-0.13247984826932194
2024-01-14,Facebook Ads,1028,40,79.98,4,422.17,0.038910505836575876,0.1,1.9995,19.995,4.278444611152788
2024-01-14,Email,1139,67,6.7,5,553.09,0.058823529411764705,0.07462686567164178,0.1,1.34,81.55074626865671
2024-01-14,Instagram,1121,51,65.3,3,306.05,0.045495093666369314,0.058823529411764705,1.280392156862745,21.766666666666666,3.686830015313936
2024-01-14,LinkedIn,1241,71,38.57,4,448.12,0.057211925866236905,0.056338028169014086,0.5432394366197183,9.6425,10.618356235416126
2024-01-15,Google Ads,1019,54,55.4,1,89.22,0.05299313052011776,0.018518518518518517,1.025925925925926,55.4,0.6104693140794224
2024-01-15,Facebook Ads,1044,55,92.15,1,112.21,0.05268199233716475,0.01818181818181818,1.6754545454545455,92.15,0.21768855127509482
2024-01-15,Email,1099,46,4.6,2,148.03,0.04185623293903549,0.043478260869565216,0.09999999999999999,2.3,31.1804347826087
2024-01-15,Instagram,1090,55,38.95,2,136.38,0.05045871559633028,0.03636363636363636,0.7081818181818182,19.475,2.501412066752246
2024-01-15,LinkedIn,1184,61,34.24,1,77.86,0.05152027027027027,0.01639344262295082,0.5613114754098361,34.24,1.273948598130841
2024-01-16,Google Ads,967,46,37.24,0,0.0,0.047569803516028956,0.0,0.8095652173913044,,-1.0
2024-01-16,Facebook Ads,1068,45,84.66,0,0.0,0.042134831460674156,0.0,1.8813333333333333,,-1.0
2024-01-16,Email,1132,58,5.8,1,98.45,0.05123674911660778,0.017241379310344827,0.09999999999999999,5.8,15.974137931034484
2024-01-16,Instagram,1161,47,26.09,1,121.33,0.040482342807924204,0.02127659574468085,0.5551063829787234,26.09,3.650440781908777
2024-01-16,LinkedIn,1251,53,62.07,2,148.49,0.042366107114308556,0.03773584905660377,1.171132075471698,31.035,1.3922990172386018
